,Bigram,Frequency
0,"('chest', 'pain')",84
1,"('okay', 'okay')",66
2,"('phone', 'number')",66
3,"('address', 'emergency')",65
4,"('go', 'ahead')",48
5,"('heart', 'rate')",45
6,"('back', 'pain')",44
7,"('im', 'going')",43
8,"('anywhere', 'else')",42
9,"('dont', 'know')",41
10,"('im', 'sorry')",39
11,"('whats', 'address')",38
12,"('rapid', 'heart')",37
13,"('okay', 'whats')",36
14,"('pain', 'anywhere')",36
15,"('911', 'whats')",34
16,"('short', 'breath')",32
17,"('heart', 'attack')",31
18,"('whats', 'phone')",30
19,"('911', 'address')",30
20,"('history', 'heart')",30
21,"('pain', 'change')",28
22,"('whats', 'going')",28
23,"('okay', 'right')",27
24,"('whats', 'name')",26
25,"('tell', 'exactly')",26
26,"('little', 'bit')",26
27,"('heart', 'problems')",25
28,"('yes', 'okay')",25
29,"('sweating', 'profusely')",25
30,"('covid', 'symptoms')",24
31,"('yeah', 'okay')",24
32,"('okay', 'thank')",22
33,"('call', 'back')",22
34,"('pain', 'located')",22
35,"('feel', 'like')",22
36,"('okay', 'old')",21
37,"('front', 'door')",21
38,"('feel', 'pain')",21
39,"('okay', 'well')",20
40,"('anything', 'changes')",20
41,"('breathe', 'move')",20
42,"('pain', 'okay')",20
43,"('illicit', 'drugs')",19
44,"('name', 'name')",19
45,"('okay', 'pain')",18
46,"('thank', 'much')",17
47,"('partners', 'going')",17
48,"('tight', 'clothing')",17
49,"('dont', 'think')",17
50,"('okay', 'alright')",17
51,"('ive', 'got')",17
52,"('change', 'breathe')",16
53,"('minutes', 'ago')",16
54,"('going', 'go')",16
55,"('okay', 'im')",16
56,"('thats', 'fine')",15
57,"('shortness', 'breath')",15
58,"('come', 'contact')",15
59,"('gon', 'na')",15
60,"('youre', 'welcome')",14
61,"('okay', 'feel')",14
62,"('let', 'know')",14
63,"('blood', 'pressure')",14
64,"('anything', 'like')",14
65,"('breathes', 'moves')",14
66,"('let', 'go')",14
67,"('come', 'suddenly')",14
68,"('ill', 'go')",13
69,"('exactly', 'whats')",13
70,"('exactly', 'happened')",13
71,"('contact', 'illicit')",13
72,"('keep', 'calm')",13
73,"('back', 'okay')",13
74,"('questions', 'okay')",13
75,"('change', 'breathes')",13
76,"('rate', 'history')",13
77,"('viagra', 'cialis')",13
78,"('experiencing', 'rapid')",12
79,"('chest', 'okay')",12
80,"('medics', 'started')",12
81,"('right', 'okay')",12
82,"('dont', 'want')",12
83,"('weve', 'got')",12
84,"('hard', 'time')",12
85,"('suddenly', 'gradually')",12
86,"('pain', 'chest')",11
87,"('prescription', 'drugs')",11
88,"('pain', 'right')",11
89,"('yeah', 'yeah')",11
90,"('oh', 'okay')",11
91,"('one', 'second')",11
92,"('ill', 'let')",11
93,"('years', 'old')",11
94,"('couple', 'questions')",11
95,"('yes', 'maam')",11
96,"('get', 'okay')",11
97,"('okay', 'partner')",11
98,"('take', 'nitro')",11
99,"('like', 'said')",11
100,"('pain', 'back')",11
101,"('couple', 'hours')",11
102,"('medics', 'way')",11
103,"('okay', 'take')",11
104,"('chest', 'pains')",11
105,"('oh', 'god')",11
106,"('sudden', 'gradual')",11
107,"('going', 'ask')",11
108,"('okay', 'yeah')",11
109,"('left', 'side')",10
110,"('take', 'nitroglycerin')",10
111,"('im', 'sure')",10
112,"('going', 'start')",10
113,"('medics', 'get')",10
114,"('take', 'deep')",10
115,"('deep', 'breath')",10
116,"('ok', 'okay')",10
117,"('give', 'us')",10
118,"('going', 'get')",10
119,"('us', 'call')",10
120,"('okay', 'history')",10
121,"('way', 'im')",10
122,"('theyre', 'way')",10
123,"('delaware', 'ohio')",10
124,"('im', 'trying')",10
125,"('history', 'rapid')",10
126,"('sit', 'lie')",10
127,"('thank', 'thank')",10
128,"('see', 'next')",10
129,"('right', 'thank')",10
130,"('okay', 'know')",9
131,"('right', 'im')",9
132,"('whichever', 'comfortable')",9
133,"('nitroglycerin', 'aspirin')",9
134,"('case', 'disconnected')",9
135,"('back', 'door')",9
136,"('right', 'yeah')",9
137,"('like', 'youre')",9
138,"('really', 'really')",9
139,"('right', 'right')",9
140,"('okay', 'name')",9
141,"('number', 'case')",9
142,"('youre', 'calling')",9
143,"('left', 'arm')",9
144,"('time', 'breathing')",9
145,"('changes', 'get')",9
146,"('bye', 'bye')",9
147,"('real', 'bad')",9
148,"('door', 'unlocked')",9
149,"('got', 'medics')",9
150,"('okay', 'partners')",9
151,"('whats', 'happened')",9
152,"('well', 'see')",8
153,"('yes', 'yes')",8
154,"('started', 'way')",8
155,"('number', 'youre')",8
156,"('beep', 'beep')",8
157,"('awake', 'right')",8
158,"('used', 'come')",8
