,Bigram,Frequency
0,"('address', 'emergency')",638
1,"('phone', 'number')",621
2,"('dont', 'know')",477
3,"('okay', 'okay')",474
4,"('whats', 'address')",406
5,"('911', 'whats')",373
6,"('okay', 'right')",350
7,"('go', 'ahead')",330
8,"('okay', 'whats')",321
9,"('whats', 'going')",297
10,"('anything', 'changes')",289
11,"('im', 'sorry')",287
12,"('whats', 'name')",287
13,"('call', 'back')",284
14,"('okay', 'thank')",282
15,"('whats', 'phone')",267
16,"('911', 'address')",262
17,"('im', 'going')",244
18,"('tell', 'exactly')",224
19,"('covid', 'symptoms')",196
20,"('yeah', 'okay')",185
21,"('gon', 'na')",185
22,"('yes', 'okay')",183
23,"('short', 'breath')",176
24,"('okay', 'alright')",175
25,"('us', 'call')",171
26,"('exactly', 'whats')",167
27,"('give', 'us')",166
28,"('cant', 'get')",157
29,"('back', 'okay')",155
30,"('difficulty', 'breathing')",148
31,"('youre', 'welcome')",146
32,"('weve', 'got')",140
33,"('like', 'said')",140
34,"('okay', 'well')",133
35,"('yeah', 'yeah')",132
36,"('name', 'name')",131
37,"('thank', 'thank')",130
38,"('front', 'door')",129
39,"('thank', 'much')",124
40,"('shortness', 'breath')",123
41,"('make', 'sure')",121
42,"('right', 'thank')",120
43,"('dont', 'think')",118
44,"('right', 'well')",117
45,"('okay', 'old')",115
46,"('trouble', 'breathing')",115
47,"('youre', 'calling')",114
48,"('number', 'case')",111
49,"('dont', 'want')",111
50,"('okay', 'im')",110
51,"('going', 'go')",109
52,"('little', 'bit')",105
53,"('let', 'know')",104
54,"('eat', 'drink')",104
55,"('number', 'youre')",102
56,"('door', 'unlocked')",98
57,"('one', 'second')",95
58,"('right', 'okay')",94
59,"('yes', 'yes')",93
60,"('okay', 'yeah')",93
61,"('anything', 'like')",93
62,"('whats', 'happened')",93
63,"('beep', 'beep')",92
64,"('im', 'sure')",92
65,"('hes', 'got')",91
66,"('okay', 'know')",90
67,"('exactly', 'happened')",89
68,"('changes', 'get')",88
69,"('thank', 'bye')",88
70,"('thank', 'okay')",84
71,"('breathing', 'okay')",83
72,"('blood', 'pressure')",82
73,"('bye', 'bye')",82
74,"('number', 'called')",80
75,"('pain', 'anywhere')",79
76,"('call', 'us')",79
77,"('get', 'disconnected')",78
78,"('oh', 'god')",76
79,"('started', 'way')",76
80,"('okay', 'shes')",76
81,"('delaware', 'ohio')",76
82,"('case', 'get')",74
83,"('en', 'route')",73
84,"('ive', 'got')",73
85,"('thank', 'youre')",73
86,"('okay', 'hes')",72
87,"('trying', 'get')",72
88,"('us', 'back')",71
89,"('back', 'immediately')",71
90,"('im', 'trying')",71
91,"('last', 'name')",71
92,"('medics', 'way')",70
93,"('let', 'go')",69
94,"('theyre', 'way')",69
95,"('muscle', 'pain')",68
96,"('unexplained', 'bleeding')",68
97,"('yeah', 'im')",67
98,"('shes', 'got')",67
99,"('state', 'country')",66
100,"('im', 'calling')",65
101,"('way', 'okay')",65
102,"('okay', 'name')",65
103,"('looks', 'like')",65
104,"('oh', 'yeah')",65
105,"('okay', 'said')",64
106,"('need', 'help')",64
107,"('got', 'medics')",64
108,"('medics', 'started')",63
109,"('thats', 'fine')",62
110,"('im', 'gon')",62
111,"('get', 'give')",62
112,"('case', 'disconnected')",62
113,"('know', 'okay')",61
114,"('ask', 'questions')",61
115,"('lose', 'consciousness')",60
116,"('orders', 'quarantine')",60
117,"('erratic', 'behavior')",60
118,"('doctors', 'orders')",59
119,"('give', 'call')",58
