,Words,Frequency
0,okay,5732
1,right,1897
2,im,1816
3,whats,1656
4,yeah,1651
5,hes,1582
6,get,1547
7,know,1478
8,shes,1375
9,like,1247
10,dont,1209
11,going,1195
12,thank,1183
13,yes,1166
14,name,1117
15,phone,913
16,back,905
17,got,892
18,address,885
19,well,881
20,emergency,857
21,go,855
22,911,819
23,number,819
24,anything,812
25,youre,778
26,ok,765
27,said,737
28,call,715
29,way,667
30,alright,640
31,thats,621
32,breathing,600
33,need,591
34,cant,590
35,oh,578
36,think,569
37,old,547
38,one,534
39,medics,517
40,bye,478
41,door,475
42,want,467
43,help,457
44,give,440
45,pain,430
46,come,426
47,tell,417
48,see,411
49,covid,408
50,theyre,400
51,let,395
52,time,378
53,sorry,371
54,us,370
55,breath,369
56,um,359
57,really,355
58,sure,348
59,ahead,341
60,changes,337
61,fell,312
62,uh,306
63,road,305
64,symptoms,303
65,much,297
66,drive,291
67,guys,290
68,exactly,288
69,called,287
70,medic,286
71,take,281
72,house,280
73,kind,279
74,last,278
75,keep,275
76,happened,272
77,good,271
78,ill,268
79,able,266
80,conscious,256
81,getting,254
82,started,251
83,bleeding,249
84,theres,247
85,calling,245
86,would,241
87,still,240
88,trying,237
89,history,234
90,front,233
91,didnt,232
92,mean,232
93,ive,229
94,say,228
95,questions,228
96,breathe,227
97,blood,224
98,fine,221
99,room,214
100,weve,213
101,doesnt,212
102,something,211
103,little,208
104,fall,207
105,apartment,206
106,ago,204
107,street,203
108,head,203
109,delaware,200
110,make,200
111,correct,200
112,home,198
113,lot,196
114,put,195
115,case,194
116,short,193
117,please,192
118,na,190
119,fever,187
120,talk,187
121,could,186
122,gon,185
123,car,182
124,hospital,181
125,ask,180
126,couple,178
127,try,178
128,around,177
129,outside,177
130,coming,175
131,trouble,174
132,route,171
133,anybody,168
134,move,167
135,today,166
136,second,164
137,difficulty,163
138,partner,162
139,floor,161
140,two,161
141,maam,160
142,start,157
143,stay,157
144,already,157
145,probably,157
146,welcome,156
147,went,154
148,ohio,154
149,hard,154
150,hello,153
151,disconnected,152
152,yep,152
153,husband,151
154,hear,151
155,took,150
156,hit,146
157,hurt,146
158,actually,144
159,heart,143
160,problem,143
161,long,143
162,anywhere,142
163,byebye,142
164,came,141
165,feel,140
166,first,140
167,thanks,137
168,comfortable,136
169,mom,136
170,eat,135
171,needs,135
172,bad,132
173,problems,132
174,shortness,132
175,rest,129
176,awake,128
177,worse,128
178,feeling,127
179,injured,126
180,sitting,126
181,three,125
182,oxygen,124
183,drink,123
184,partners,123
185,pressure,122
186,hi,122
187,leave,121
188,left,119
189,told,119
190,bed,117
191,unlocked,117
192,bit,117
193,thing,116
194,hold,115
195,beep,115
196,dispatched,114
197,nothing,112
198,even,112
199,talking,111
200,anyone,111
201,state,110
202,stuff,110
203,next,110
204,everything,109
205,real,109
206,night,109
207,wife,109
208,else,108
209,medical,107
210,position,104
211,medications,104
212,quarantine,104
213,check,103
214,nurse,103
215,look,102
216,sit,101
217,recently,100
218,responding,99
219,minutes,98
220,since,98
221,youve,98
222,north,98
223,side,97
224,100,97
225,somebody,97
226,doctor,96
227,shortly,96
228,patient,96
229,open,95
230,years,95
231,son,94
232,doctors,93
233,morning,93
234,god,93
235,maybe,92
236,verify,92
237,sir,92
238,confusion,92
239,1,92
240,bathroom,90
241,diabetic,90
242,weapons,89
243,court,89
244,says,89
245,respond,89
246,2,89
247,country,88
248,line,88
249,appropriately,88
250,officer,87
251,consciousness,87
252,saying,87
253,3,87
254,medication,86
255,someone,85
256,understand,84
257,west,84
258,4,83
259,immediately,82
260,four,82
261,avenue,82
262,injuries,81
263,use,81
264,laying,80
265,sick,80
266,chair,80
267,away,79
268,speak,79
269,walking,78
270,list,77
271,issues,76
272,looks,76
273,things,76
274,daughter,76
275,five,76
276,honey,75
277,shit,75
278,fucking,75
279,work,75
280,pretty,75
281,day,74
282,ever,74
283,tried,73
284,days,73
285,en,73
286,inside,73
287,care,73
288,travel,73
289,muscle,73
290,lose,72
291,also,71
292,office,71
293,5,71
