Trigram,Frequency
"('whats', 'address', 'emergency')",347
"('911', 'whats', 'address')",338
"('whats', 'phone', 'number')",264
"('911', 'address', 'emergency')",259
"('give', 'us', 'call')",164
"('us', 'call', 'back')",156
"('tell', 'exactly', 'whats')",143
"('okay', 'okay', 'thank')",104
"('phone', 'number', 'case')",102
"('number', 'youre', 'calling')",97
"('phone', 'number', 'youre')",96
"('okay', 'whats', 'phone')",93
"('call', 'back', 'okay')",89
"('exactly', 'whats', 'happened')",88
"('okay', 'whats', 'name')",84
"('okay', 'whats', 'going')",82
"('phone', 'number', 'called')",78
"('anything', 'changes', 'get')",74
"('case', 'get', 'disconnected')",74
"('tell', 'exactly', 'happened')",73
"('thank', 'youre', 'welcome')",72
"('call', 'us', 'back')",70
"('going', 'go', 'ahead')",69
"('beep', 'beep', 'beep')",69
"('okay', 'right', 'well')",65
"('im', 'gon', 'na')",62
"('go', 'ahead', 'give')",58
"('doctors', 'orders', 'quarantine')",58
"('number', 'case', 'get')",57
"('confusion', 'erratic', 'behavior')",57
"('fever', 'muscle', 'pain')",56
"('im', 'going', 'ask')",56
"('outside', 'state', 'country')",53
"('unexplained', 'bleeding', 'confusion')",52
"('ahead', 'give', 'us')",50
"('muscle', 'pain', 'unexplained')",50
"('pain', 'unexplained', 'bleeding')",50
"('okay', 'okay', 'right')",50
"('bleeding', 'confusion', 'erratic')",49
"('give', 'call', 'back')",48
"('whats', 'name', 'name')",47
"('okay', 'phone', 'number')",47
"('exactly', 'whats', 'going')",46
"('give', 'one', 'second')",45
"('okay', 'thank', 'much')",44
"('number', 'youve', 'called')",43
"('travel', 'outside', 'state')",43
"('go', 'ahead', 'get')",43
"('back', 'okay', 'okay')",43
"('im', 'going', 'go')",42
"('changes', 'get', 'give')",42
"('phone', 'number', 'youve')",42
"('1', '2', '3')",42
"('okay', 'thank', 'thank')",41
"('okay', 'right', 'thank')",41
"('history', 'fever', 'muscle')",41
"('anything', 'eat', 'drink')",40
"('okay', 'okay', 'okay')",40
"('get', 'give', 'us')",40
"('2', '3', '4')",40
"('3', '4', '5')",39
"('youre', 'welcome', 'bye')",39
"('way', 'anything', 'changes')",38
"('go', 'ahead', 'let')",38
"('number', 'case', 'disconnected')",38
"('covid', 'symptoms', 'doctors')",38
"('see', 'next', 'time')",37
"('medics', 'started', 'way')",37
"('history', 'heart', 'problems')",37
"('call', 'back', 'immediately')",37
"('anything', 'changes', 'give')",37
"('history', 'travel', 'outside')",37
"('weve', 'got', 'medics')",36
"('anything', 'changes', 'worsens')",36
"('symptoms', 'doctors', 'orders')",35
"('address', 'one', 'time')",35
"('breath', 'difficulty', 'breathing')",34
"('nothing', 'eat', 'drink')",34
"('okay', 'thank', 'youre')",34
"('going', 'ask', 'questions')",34
"('address', 'emergency', 'hi')",33
"('back', 'immediately', 'okay')",33
"('anything', 'changes', 'call')",33
"('okay', 'tell', 'exactly')",32
"('exactly', 'whats', 'happening')",32
"('go', 'ahead', 'start')",31
"('changes', 'give', 'us')",31
"('ahead', 'let', 'go')",31
"('shortness', 'breath', 'difficulty')",31
"('okay', 'im', 'going')",30
"('us', 'back', 'immediately')",30
"('front', 'door', 'unlocked')",30
"('good', 'phone', 'number')",30
"('rest', 'comfortable', 'position')",30
