,Words,Frequency
0,okay,773
1,pain,282
2,im,242
3,right,234
4,yeah,195
5,like,181
6,chest,169
7,hes,169
8,get,167
9,heart,166
10,yes,165
11,whats,161
12,going,159
13,know,158
14,go,135
15,thank,134
16,take,123
17,back,123
18,dont,122
19,shes,120
20,well,118
21,ok,108
22,said,106
23,got,105
24,name,100
25,phone,95
26,number,87
27,way,85
28,address,84
29,emergency,83
30,old,83
31,one,82
32,anything,82
33,medics,80
34,oh,78
35,911,77
36,think,75
37,feel,74
38,history,72
39,youre,72
40,want,70
41,aspirin,70
42,door,69
43,thats,69
44,alright,67
45,breath,66
46,come,65
47,started,63
48,ill,62
49,see,58
50,bye,58
51,time,58
52,breathing,58
53,start,57
54,really,56
55,little,55
56,ago,54
57,uh,52
58,call,52
59,let,52
60,sorry,51
61,change,51
62,tell,49
63,anywhere,48
64,else,48
65,ahead,48
66,ask,47
67,covid,47
68,drugs,47
69,rate,47
70,questions,45
71,theyre,44
72,give,44
73,need,41
74,kind,41
75,two,40
76,would,39
77,um,39
78,sweating,38
79,keep,38
80,rapid,38
81,around,37
82,say,37
83,ive,37
84,front,36
85,medic,36
86,couple,36
87,help,36
88,able,36
89,didnt,35
90,exactly,35
91,sure,34
92,drive,34
93,move,34
94,last,34
95,problems,33
96,located,33
97,left,33
98,gradual,33
99,short,33
100,sudden,32
101,breathe,32
102,good,32
103,attack,32
104,much,31
105,vomiting,31
106,symptoms,31
107,room,30
108,happened,29
109,partners,29
110,bad,29
111,bit,29
112,real,29
113,coming,28
114,tight,28
115,guys,28
116,minutes,28
117,lot,28
118,try,27
119,doesnt,27
120,put,27
121,took,27
122,partner,27
123,worse,27
124,profusely,27
125,feeling,26
126,contact,26
127,conscious,26
128,changes,26
129,could,26
130,delaware,26
131,hard,25
132,already,25
133,today,25
134,maam,25
135,cant,25
136,us,24
137,suddenly,24
138,three,24
139,second,24
140,side,24
141,gradually,23
142,sit,23
143,says,23
144,center,23
145,long,22
146,house,22
147,yep,22
148,getting,22
149,hours,22
150,stay,22
151,fine,22
152,calm,22
153,illicit,22
154,ohio,22
155,weve,21
156,mean,21
157,called,21
158,arm,21
159,moves,20
160,years,20
161,pressure,20
162,blood,20
163,road,20
164,case,20
165,comfortable,20
166,trying,20
167,please,20
168,anybody,20
169,morning,19
170,nitroglycerin,19
171,away,19
172,probably,19
173,nitro,19
174,patient,19
175,thanks,19
176,feels,19
177,thought,19
178,street,19
179,maybe,18
180,theres,18
181,havent,18
182,clothing,18
183,still,18
184,route,18
185,anyone,17
186,pains,17
187,recently,17
188,taken,17
189,came,17
190,calling,16
191,na,16
192,experiencing,16
193,went,16
194,husband,16
195,shortness,16
196,use,16
197,next,16
